,flu
0,0.02127659574468085
1,0.02127659574468085
2,0.02127659574468085
3,0.02127659574468085
4,0.02127659574468085
5,0.02127659574468085
6,0.02127659574468085
7,0.02127659574468085
8,0.02431610942234042
9,0.027355623100000004
10,0.03039513677765957
11,0.03343465045638298
12,0.03647416413404255
13,0.03951367781170213
14,0.0425531914893617
15,0.04711246200638298
16,0.05167173252234042
17,0.056231003039361696
18,0.06079027355638299
19,0.06534954407340426
20,0.0699088145893617
21,0.07446808510638298
22,0.07750759878404255
23,0.08054711246170213
24,0.0835866261393617
25,0.08662613981808512
26,0.08966565349574468
27,0.09270516717340427
28,0.09574468085106383
29,0.1003039513680851
30,0.10486322188404255
31,0.10942249240106382
32,0.11398176291808511
33,0.11854103343510637
34,0.12310030395106382
35,0.1276595744680851
36,0.1291793313074468
37,0.13069908814574469
38,0.1322188449851064
39,0.13373860182340425
40,0.13525835866276598
41,0.13677811550106383
42,0.13829787234042554
43,0.13829787234042554
44,0.13829787234042554
45,0.13829787234042554
46,0.13829787234042554
47,0.13829787234042554
48,0.13829787234042554
49,0.13829787234042554
50,0.1398176291797872
51,0.1413373860180851
52,0.14285714285744683
53,0.14437689969574466
54,0.1458966565351064
55,0.14741641337340428
56,0.14893617021276595
57,0.14437689969574466
58,0.1398176291797872
59,0.13525835866276598
60,0.13069908814574469
61,0.12613981762872342
62,0.12158054711276597
63,0.11702127659574468
64,0.11702127659574468
65,0.11702127659574468
66,0.11702127659574468
67,0.11702127659574468
68,0.11702127659574468
69,0.11702127659574468
70,0.11702127659574468
71,0.115501519756383
72,0.11398176291808511
73,0.11246200607872339
74,0.11094224924042555
75,0.10942249240106382
76,0.10790273556276594
77,0.10638297872340426
78,0.10638297872340426
79,0.10638297872340426
80,0.10638297872340426
81,0.10638297872340426
82,0.10638297872340426
83,0.10638297872340426
84,0.10638297872340426
85,0.1033434650457447
86,0.1003039513680851
87,0.09726443769042553
88,0.09422492401170213
89,0.09118541033404255
90,0.08814589665638298
91,0.0851063829787234
92,0.08966565349574468
93,0.09422492401170213
94,0.09878419452872339
95,0.1033434650457447
96,0.10790273556276594
97,0.11246200607872339
98,0.11702127659574468
99,0.11854103343510637
100,0.12006079027340424
101,0.12158054711276597
102,0.12310030395106382
103,0.12462006079042554
104,0.12613981762872342
105,0.1276595744680851
106,0.13069908814574469
107,0.13373860182340425
108,0.13677811550106383
109,0.1398176291797872
110,0.14285714285744683
111,0.1458966565351064
112,0.14893617021276595
113,0.15349544072978724
114,0.1580547112457447
115,0.16261398176276595
116,0.16717325227978724
117,0.1717325227968085
118,0.17629179331276595
119,0.18085106382978725
120,0.18237082066914892
121,0.1838905775074468
122,0.18541033434680854
123,0.18693009118510637
124,0.1884498480244681
125,0.18996960486276598
126,0.19148936170212766
127,0.18996960486276598
128,0.1884498480244681
129,0.18693009118510637
130,0.18541033434680854
131,0.1838905775074468
132,0.18237082066914892
133,0.18085106382978725
134,0.18085106382978725
135,0.18085106382978725
136,0.18085106382978725
137,0.18085106382978725
138,0.18085106382978725
139,0.18085106382978725
140,0.18085106382978725
141,0.1884498480244681
142,0.19604863221914895
143,0.20364741641382977
144,0.2112462006074468
145,0.21884498480212763
146,0.22644376899680851
147,0.23404255319148937
148,0.2583586626138298
149,0.2826747720361702
150,0.30699088145851067
151,0.3313069908819149
152,0.3556231003042553
153,0.37993920972659573
154,0.40425531914893614
155,0.39513677811595743
156,0.3860182370819149
157,0.3768996960489362
158,0.3677811550148936
159,0.35866261398191485
160,0.3495440729478724
161,0.3404255319148936
162,0.3343465045595745
163,0.3282674772031915
164,0.32218844984787237
165,0.31610942249255314
166,0.310030395137234
167,0.303951367780851
168,0.2978723404255319
169,0.2857142857138298
170,0.2735562310031915
171,0.26139817629148937
172,0.24924012158085107
173,0.23708206686914893
174,0.22492401215851063
175,0.2127659574468085
176,0.2431610942244681
177,0.2735562310031915
178,0.303951367780851
179,0.3343465045595745
180,0.3647416413372341
181,0.39513677811595743
182,0.425531914893617
183,0.44376899696063826
184,0.4620060790276596
185,0.48024316109468085
186,0.4984802431606383
187,0.5167173252276596
188,0.5349544072946809
189,0.5531914893617021
190,0.6048632218840425
191,0.6565349544074468
192,0.7082066869297873
193,0.7598784194531915
194,0.8115501519755318
195,0.8632218844989361
196,0.9148936170212766
197,0.9270516717329788
198,0.939209726443617
199,0.9513677811553191
200,0.9635258358659575
201,0.9756838905776596
202,0.9878419452882979
203,1.0
204,0.9574468085106383
205,0.9148936170212766
206,0.8723404255319149
207,0.8297872340425532
208,0.7872340425531915
209,0.7446808510638298
210,0.7021276595744681
211,0.6808510638297872
212,0.6595744680851063
213,0.6382978723404256
214,0.6170212765957447
215,0.5957446808510638
216,0.574468085106383
217,0.5531914893617021
218,0.5273556231
219,0.5015197568393617
220,0.47568389057765953
221,0.4498480243159575
222,0.42401215805425535
223,0.398176291793617
224,0.3723404255319149
225,0.35714285714255317
226,0.3419452887542553
227,0.3267477203648936
228,0.31155015197553193
229,0.2963525835861702
230,0.28115501519787234
231,0.26595744680851063
232,0.26595744680851063
233,0.26595744680851063
234,0.26595744680851063
235,0.26595744680851063
236,0.26595744680851063
237,0.26595744680851063
238,0.26595744680851063
239,0.2583586626138298
240,0.25075987841914893
241,0.2431610942244681
242,0.23556231003085104
243,0.22796352583617022
244,0.22036474164148936
245,0.2127659574468085
246,0.20516717325212766
247,0.19756838905744678
248,0.18996960486276598
249,0.18237082066914892
250,0.1747720364744681
251,0.16717325227978724
252,0.1595744680851064
253,0.1595744680851064
254,0.1595744680851064
255,0.1595744680851064
256,0.1595744680851064
257,0.1595744680851064
258,0.1595744680851064
259,0.1595744680851064
260,0.15653495440744683
261,0.15349544072978724
262,0.15045592705212765
263,0.14741641337340428
264,0.14437689969574466
265,0.1413373860180851
266,0.13829787234042554
267,0.13373860182340425
268,0.1291793313074468
269,0.12462006079042554
270,0.12006079027340424
271,0.115501519756383
272,0.11094224924042555
273,0.10638297872340426
274,0.09726443769042553
275,0.08814589665638298
276,0.07902735562340425
277,0.0699088145893617
278,0.06079027355638299
279,0.05167173252234042
280,0.0425531914893617
281,0.0425531914893617
282,0.0425531914893617
283,0.0425531914893617
284,0.0425531914893617
285,0.0425531914893617
286,0.0425531914893617
287,0.0425531914893617
288,0.0425531914893617
289,0.0425531914893617
290,0.0425531914893617
291,0.0425531914893617
292,0.0425531914893617
293,0.0425531914893617
294,0.0425531914893617
295,0.04863221884468085
296,0.05471124620106384
297,0.06079027355638299
298,0.06686930091170212
299,0.07294832826702127
300,0.07902735562340425
301,0.0851063829787234
302,0.09422492401170213
303,0.1033434650457447
304,0.11246200607872339
305,0.12158054711276597
