date,flu,fever,cough
2023-09-24,16,19,15
2023-10-01,15,20,15
2023-10-08,15,19,16
2023-10-15,16,19,15
2023-10-22,14,19,15
2023-10-29,15,17,16
2023-11-05,15,18,17
2023-11-12,14,18,17
2023-11-19,13,18,18
2023-11-26,15,19,19
2023-12-03,15,20,19
2023-12-10,16,21,20
2023-12-17,20,22,22
2023-12-24,19,22,23
2023-12-31,17,19,23
2024-01-07,14,18,18
2024-01-14,13,17,16
2024-01-21,13,18,16
2024-01-28,13,18,17
2024-02-04,13,20,17
2024-02-11,13,18,17
2024-02-18,12,19,16
2024-02-25,13,19,16
2024-03-03,12,20,16
2024-03-10,11,18,15
2024-03-17,10,18,15
2024-03-24,9,17,16
2024-03-31,11,17,14
2024-04-07,10,16,14
2024-04-14,9,19,13
2024-04-21,10,17,13
2024-04-28,11,20,13
2024-05-05,10,19,13
2024-05-12,9,24,13
2024-05-19,10,24,12
2024-05-26,9,26,12
2024-06-02,9,23,12
2024-06-09,8,23,12
2024-06-16,9,27,12
2024-06-23,8,25,11
2024-06-30,7,25,11
2024-07-07,8,25,12
2024-07-14,8,26,11
2024-07-21,8,20,12
2024-07-28,7,17,11
2024-08-04,8,18,12
2024-08-11,8,22,12
2024-08-18,9,24,12
